911,911,NULL,Daneco (Electric Coop.),Daneco (Electric Coop.),SOLUTIONS CLIENTS,"KM 100 National H-way Montevista, Compostela Valley",NULL,NULL,(084) 655 0441,NULL,NULL,NULL
919,919,NULL,Daneco (Events),Daneco (Events),SOLUTIONS CLIENTS,"Davao del Sur Electric Coop., Inc. By-Pass Road, Digos City, 8002 Davao del Sur ",NULL,NULL,(082) 553 2643,NULL,NULL,NULL
929,929,NULL,Dasureco (Electric Coop.),Dasureco (Electric Coop.),SOLUTIONS CLIENTS," By-Pass Road, Digos City, Davao del Sur",NULL,NULL, 272-7777,NULL,NULL,NULL
961,961,NULL,DIGOS (Water District),DIGOS (Water District),SOLUTIONS CLIENTS," Rizal Avenue, Digos City ",NULL,NULL,Tel:(082) 553- 2111 Fax:(082) 553-8742,NULL,NULL,NULL
1000,0,NULL,Digos Water District (Sol.OTC),Digos Water District (Sol.OTC),SOLUTIONS CLIENTS,"Rizal Avenue, Digos City  Digos City ",NULL,NULL,(082) 553 - 2111,NULL,NULL,NULL
1004,1004,NULL,DORECO (Electric Coop.),DORECO (Electric Coop.),SOLUTIONS CLIENTS," Mati, Davao Oriental",NULL,NULL,Tel:(087) 388-3127,NULL,NULL,NULL
1006,1006,NULL,Fibeco (Electric Coop.),Fibeco (Electric Coop.),SOLUTIONS CLIENTS,"Anahawon, Maramag Bukidnon ",NULL,NULL,0977-804-1181 - FM Fax:(088) 356-1025,NULL,NULL,NULL
1008,1008,NULL,Hagonoy (Water District),Hagonoy (Water District),SOLUTIONS CLIENTS," Guihing, Hagonoy, Davao del Sur",NULL,NULL,0946-822-9667 GM,NULL,NULL,NULL
1011,1011,NULL,Igacos (Water District),Igacos (Water District),SOLUTIONS CLIENTS,"Island Garden City of Samal, davao del Norte",NULL,NULL,0908-994-3651,NULL,NULL,NULL
1013,1013,NULL,Iselco I (Electric Coop.),Iselco I (Electric Coop.),SOLUTIONS CLIENTS," Victoria, Alicia, Isabela",NULL,NULL,9783051876,NULL,NULL,NULL
1015,1015,NULL,Iselco II (Electric Coop),Iselco II (Electric Coop),SOLUTIONS CLIENTS,"Alibagu, AH26, Ilagan, 3300 Isabela",NULL,NULL,9569946944,NULL,NULL,NULL
1017,1017,NULL,Kabacan (Water District),Kabacan (Water District),SOLUTIONS CLIENTS," Rizal Avenue,Poblacion Kabacan Cotabato",NULL,NULL,Tel:(064)248-2074,NULL,NULL,NULL
1026,1026,NULL,Leyeco II (Electric Coop.),Leyeco II (Electric Coop.),SOLUTIONS CLIENTS," Real St.,Sagkahan District, Tacloban City ",NULL,NULL,Tel:(053) 321-1492,NULL,NULL,NULL
1031,1031,NULL,Leyeco III (Electric Coop.),Leyeco III (Electric Coop.),SOLUTIONS CLIENTS,"Tunga, Leyte",NULL,NULL,Tel:(053) 323-1265,NULL,NULL,NULL
1034,1034,NULL,Leyte Metropolitan (Water District),Leyte Metropolitan (Water District),SOLUTIONS CLIENTS,"Pan-Philippine Hway Motorpool Compound, Tacloban, Leyte",NULL,NULL,Tel:(053) 325-8009,NULL,NULL,NULL
1042,1042,NULL,Lianga (Water District),Lianga (Water District),SOLUTIONS CLIENTS,"Mabini Street, Lianga, Surigao del Sur",NULL,NULL,Phone: (086) 616 0020,NULL,NULL,NULL
1058,1058,NULL,Maramag (Water District),Maramag (Water District),SOLUTIONS CLIENTS," T. Curuna St., Maramag Bukidnon",NULL,NULL,"0906-56190041 Ma'am Zenia Tel:(088), Fax:(088) 238-5409 238-5408",NULL,NULL,NULL
1060,1060,NULL,Metro Midsayap (Water District),Metro Midsayap (Water District),SOLUTIONS CLIENTS,"007 Poblacion 8, Midsayap, 9416, North Cotabato",NULL,NULL,(064) 229-8215,NULL,NULL,NULL
1063,1063,NULL,Mlang (Water District),Mlang (Water District),SOLUTIONS CLIENTS,"M. H. del Pilar Rizal St., M'lang, North Cotabato",NULL,NULL,(064) 572-4006,NULL,NULL,NULL
1070,1070,NULL,Moelci I (Electric Coop.),Moelci I (Electric Coop.),SOLUTIONS CLIENTS,"Magcamuiging Calamba, Misamis Occidental ",NULL,NULL,(088) 271-3660,NULL,NULL,NULL
1073,1073,NULL,Moelci II (Electric Coop.),Moelci II (Electric Coop.),SOLUTIONS CLIENTS,"Circumferential Road, Barangay Bitoon Ozamis City ",NULL,NULL,Tel:(088) 521 1461,NULL,NULL,NULL
1075,1075,NULL,Moresco II (Electric Coop.),Moresco II (Electric Coop.),SOLUTIONS CLIENTS,"Tion St, North Poblacion, Medina, Misamis Oriental ",NULL,NULL,(088) 331-2407 Tel:(088) 331-2771,NULL,NULL,NULL
1078,1078,NULL,Pelco II (Electric Coop.),Pelco II (Electric Coop.),SOLUTIONS CLIENTS," San Roque Guagua, Pampanga ",NULL,NULL,(045) 900-0611 Fax No.(045) 900-0534,NULL,NULL,NULL
1095,1095,NULL,Presco (Electric Coop.),Presco (Electric Coop.),SOLUTIONS CLIENTS,"Anao, Mexico, Pampanga ",NULL,NULL,Tel:(045) 865-1243,NULL,NULL,NULL
1097,1097,NULL,Samelco I (Electric Coop.),Samelco I (Electric Coop.),SOLUTIONS CLIENTS,"Brgy. Carayman Calbayog City, Samar",NULL,NULL,(055) 209-8211,NULL,NULL,NULL
1099,1099,NULL,Surneco (Electric Coop.),Surneco (Electric Coop.),SOLUTIONS CLIENTS,"Espina Street, Surigao City ",NULL,NULL,(086) 826-2148,NULL,NULL,NULL
1101,1101,NULL,Surneco (Events),Surneco (Events),SOLUTIONS CLIENTS," Espina Street, Surigao City ",NULL,NULL,Tel:(086) 826-2148 Fax:(086) 826-2148,NULL,NULL,NULL
1103,1103,NULL,Surseco I (Electric Coop.),Surseco I (Electric Coop.),SOLUTIONS CLIENTS," San Fernando, Bislig City",NULL,NULL,(086) 853-6100,NULL,NULL,NULL
1105,1105,NULL,Surseco II (Electric Coop.),Surseco II (Electric Coop.),SOLUTIONS CLIENTS,"Tandag, Surigao del Sur ",NULL,NULL,(086) 211-3031,NULL,NULL,NULL
1112,1112,NULL,Valencia (Water District),Valencia (Water District),SOLUTIONS CLIENTS," Purok 4A Poblacion Valencia City, Bukidnon ",NULL,NULL,(088) 828-2058,NULL,NULL,NULL
1115,1115,NULL,-DCTECH - Inet ( Infra),-DCTECH - Inet ( Infra),INET CLIENTS,-DCTECH - Inet ( Infra),NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1117,1117,NULL,DCTECH-CAMIGUIN,DCTECH-CAMIGUIN,INET CLIENTS,DCTECH-CAMIGUIN,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1119,1119,NULL,DCTECH-Outside Plant Infrastructure Dept.,DCTECH-Outside Plant Infrastructure Dept.,INET CLIENTS,DCTECH-Outside Plant Infrastructure Dept.,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1126,1126,NULL,DCTECH - Accounting Department,DCTECH - Accounting Department,INET CLIENTS,DCTECH - Accounting Department,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1141,1141,NULL,DCTECH - Audit & Account Management,DCTECH - Audit & Account Management,INET CLIENTS,DCTECH - Audit & Account Management,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1147,1147,NULL,DCTECH - Bukidnon,DCTECH - Bukidnon,INET CLIENTS,DCTECH - Bukidnon,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1149,1149,NULL,DCTECH - Butuan,DCTECH - Butuan,INET CLIENTS,DCTECH - Butuan,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1151,1151,NULL,DCTECH - Cabadbaran,DCTECH - Cabadbaran,INET CLIENTS,DCTECH - Cabadbaran,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1174,1174,NULL,DCTECH - CDO,DCTECH - CDO,INET CLIENTS,DCTECH - CDO,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1181,1181,NULL,DCTECH - Computer,DCTECH - Computer,INET CLIENTS,DCTECH - Computer,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1187,1187,NULL,DCTECH - Davao Central Team,DCTECH - Davao Central Team,INET CLIENTS,DCTECH - Davao Central Team,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1195,1195,NULL,DCTECH - Davao North Team,DCTECH - Davao North Team,INET CLIENTS,DCTECH - Davao North Team,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1220,1220,NULL,DCTECH - Davao South Team,DCTECH - Davao South Team,INET CLIENTS,DCTECH - Davao South Team,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1226,1226,NULL,DCTECH - Digos,DCTECH - Digos,INET CLIENTS,DCTECH - Digos,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1236,1236,NULL,DCTECH - Finance Department,DCTECH - Finance Department,INET CLIENTS,DCTECH - Finance Department,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1242,1242,NULL,DCTECH - Gensan,DCTECH - Gensan,INET CLIENTS,DCTECH - Gensan,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1246,1246,NULL,DCTECH - Gingoog,DCTECH - Gingoog,INET CLIENTS,DCTECH - Gingoog,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1280,1280,NULL,DCTECH - HRM Department,DCTECH - HRM Department,INET CLIENTS,DCTECH - HRM Department,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1296,1296,NULL,DCTECH - IE Department,DCTECH - IE Department,INET CLIENTS,DCTECH - IE Department,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1306,1306,NULL,DCTECH - Iligan City,DCTECH - Iligan City,INET CLIENTS,DCTECH - Iligan City,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1327,1327,NULL,DCTECH - Inet ( Infra),DCTECH - Inet ( Infra),INET CLIENTS,DCTECH - Inet ( Infra),NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1374,1374,NULL,DCTECH - Inet / HGC Project,DCTECH - Inet / HGC Project,INET CLIENTS,DCTECH - Inet / HGC Project,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1387,1387,NULL,DCTECH - Inet Davao (Office use),DCTECH - Inet Davao (Office use),INET CLIENTS,DCTECH - Inet Davao (Office use),NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1394,1394,NULL,DCTECH - Logistics Department,DCTECH - Logistics Department,INET CLIENTS,DCTECH - Logistics Department,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1396,1396,NULL,DCTECH - Malita,DCTECH - Malita,INET CLIENTS,DCTECH - Malita,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1398,1398,NULL,DCTECH - Nasipit,DCTECH - Nasipit,INET CLIENTS,DCTECH - Nasipit,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1400,1400,NULL,DCTECH - Network Department,DCTECH - Network Department,INET CLIENTS,DCTECH - Network Department,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1404,1404,NULL,DCTECH - Panabo,DCTECH - Panabo,INET CLIENTS,DCTECH - Panabo,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1407,1407,NULL,DCTECH - Sales Department,DCTECH - Sales Department,INET CLIENTS,DCTECH - Sales Department,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1409,1409,NULL,DCTECH - Samal,DCTECH - Samal,INET CLIENTS,DCTECH - Samal,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1412,1412,NULL,DCTECH - San Franz,DCTECH - San Franz,INET CLIENTS,DCTECH - San Franz,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1415,1415,NULL,DCTECH - Solutions,DCTECH - Solutions,INET CLIENTS,DCTECH - Solutions,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1417,1417,NULL,DCTECH - Solutions (Infra),DCTECH - Solutions (Infra),INET CLIENTS,DCTECH - Solutions (Infra),NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1419,1419,NULL,DCTECH - Sto Tomas,DCTECH - Sto Tomas,INET CLIENTS,DCTECH - Sto Tomas,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1421,1421,NULL,DCTECH - Surigao,DCTECH - Surigao,INET CLIENTS,DCTECH - Surigao,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1425,1425,NULL,DCTECH - Tagum,DCTECH - Tagum,INET CLIENTS,DCTECH - Tagum,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
1428,1428,NULL,DCTECH - Trento,DCTECH - Trento,INET CLIENTS,DCTECH - Trento,NULL,NULL,(082) 221-2380,NULL,NULL,NULL
